Rodada,Data,IdCasa,TimeCasa,GolsCasa,IdFora,TimeFora,GolsFora
1,03/03/2025,BAH,Bahia,0,VIT,Vitória,2
1,03/03/2025,SAO,São Paulo,0,CEA,Ceará,2
1,03/03/2025,CHA,Chapecoense,3,CRU,Cruzeiro,1
1,03/03/2025,CAM,Atlético-MG,4,GOI,Goiás,4
1,03/03/2025,COR,Corinthians,2,GRE,Grêmio,0
1,03/03/2025,INT,Internacional,4,FLA,Flamengo,3
1,03/03/2025,ATO,Atlético-GO,1,ATHL,Athletico-PR,4
1,03/03/2025,SPO,Sport Recife,4,VAS,Vasco,1
1,03/03/2025,FLU,Fluminense,1,PAL,Palmeiras,3
1,03/03/2025,JUVE,Juventude,1,COR,Coritiba,0
2,10/03/2025,CEA,Ceará,0,COR,Corinthians,4
2,10/03/2025,PAL,Palmeiras,1,JUVE,Juventude,3
2,10/03/2025,SAO,São Paulo,4,GOI,Goiás,3
2,10/03/2025,INT,Internacional,4,ATO,Atlético-GO,0
2,10/03/2025,VIT,Vitória,0,VAS,Vasco,0
2,10/03/2025,CRU,Cruzeiro,1,BAH,Bahia,2
2,10/03/2025,FLU,Fluminense,2,GRE,Grêmio,4
2,10/03/2025,FLA,Flamengo,2,CHA,Chapecoense,1
2,10/03/2025,COR,Coritiba,3,CAM,Atlético-MG,4
2,10/03/2025,SPO,Sport Recife,4,ATHL,Athletico-PR,0
3,17/03/2025,CHA,Chapecoense,0,ATO,Atlético-GO,4
3,17/03/2025,CRU,Cruzeiro,1,BAH,Bahia,3
3,17/03/2025,COR,Corinthians,3,CAM,Atlético-MG,0
3,17/03/2025,COR,Coritiba,1,FLA,Flamengo,4
3,17/03/2025,FLU,Fluminense,3,VAS,Vasco,2
3,17/03/2025,ATHL,Athletico-PR,3,SAO,São Paulo,0
3,17/03/2025,GOI,Goiás,2,SPO,Sport Recife,4
3,17/03/2025,GRE,Grêmio,1,CEA,Ceará,1
3,17/03/2025,PAL,Palmeiras,0,JUVE,Juventude,3
3,17/03/2025,VIT,Vitória,3,INT,Internacional,2
4,24/03/2025,FLA,Flamengo,3,COR,Corinthians,2
4,24/03/2025,JUVE,Juventude,3,CEA,Ceará,2
4,24/03/2025,CAM,Atlético-MG,2,CRU,Cruzeiro,4
4,24/03/2025,CHA,Chapecoense,3,ATHL,Athletico-PR,4
4,24/03/2025,SPO,Sport Recife,3,VIT,Vitória,3
4,24/03/2025,GRE,Grêmio,3,FLU,Fluminense,2
4,24/03/2025,INT,Internacional,2,GOI,Goiás,3
4,24/03/2025,BAH,Bahia,3,PAL,Palmeiras,0
4,24/03/2025,VAS,Vasco,3,COR,Coritiba,0
4,24/03/2025,ATO,Atlético-GO,0,SAO,São Paulo,0
5,31/03/2025,FLA,Flamengo,0,PAL,Palmeiras,0
5,31/03/2025,CHA,Chapecoense,3,CRU,Cruzeiro,0
5,31/03/2025,INT,Internacional,3,VAS,Vasco,1
5,31/03/2025,ATO,Atlético-GO,2,GOI,Goiás,4
5,31/03/2025,BAH,Bahia,0,ATHL,Athletico-PR,2
5,31/03/2025,VIT,Vitória,0,CAM,Atlético-MG,3
5,31/03/2025,JUVE,Juventude,2,COR,Coritiba,3
5,31/03/2025,COR,Corinthians,3,FLU,Fluminense,4
5,31/03/2025,SAO,São Paulo,3,CEA,Ceará,2
5,31/03/2025,SPO,Sport Recife,2,GRE,Grêmio,1
6,07/04/2025,CAM,Atlético-MG,0,ATHL,Athletico-PR,0
6,07/04/2025,GOI,Goiás,1,SAO,São Paulo,2
6,07/04/2025,VIT,Vitória,4,COR,Corinthians,3
6,07/04/2025,COR,Coritiba,2,SPO,Sport Recife,0
6,07/04/2025,INT,Internacional,1,CEA,Ceará,4
6,07/04/2025,CHA,Chapecoense,2,JUVE,Juventude,0
6,07/04/2025,GRE,Grêmio,0,PAL,Palmeiras,2
6,07/04/2025,VAS,Vasco,2,ATO,Atlético-GO,2
6,07/04/2025,CRU,Cruzeiro,0,FLA,Flamengo,2
6,07/04/2025,BAH,Bahia,4,FLU,Fluminense,1
7,14/04/2025,CEA,Ceará,0,CRU,Cruzeiro,0
7,14/04/2025,GRE,Grêmio,1,SPO,Sport Recife,3
7,14/04/2025,FLA,Flamengo,2,CHA,Chapecoense,2
7,14/04/2025,VIT,Vitória,2,SAO,São Paulo,2
7,14/04/2025,COR,Coritiba,3,ATO,Atlético-GO,2
7,14/04/2025,INT,Internacional,3,FLU,Fluminense,1
7,14/04/2025,PAL,Palmeiras,1,ATHL,Athletico-PR,4
7,14/04/2025,JUVE,Juventude,3,GOI,Goiás,4
7,14/04/2025,VAS,Vasco,1,CAM,Atlético-MG,1
7,14/04/2025,BAH,Bahia,4,COR,Corinthians,4
8,21/04/2025,CHA,Chapecoense,4,GOI,Goiás,3
8,21/04/2025,PAL,Palmeiras,4,BAH,Bahia,0
8,21/04/2025,VAS,Vasco,2,ATO,Atlético-GO,3
8,21/04/2025,CEA,Ceará,1,SAO,São Paulo,4
8,21/04/2025,GRE,Grêmio,2,CRU,Cruzeiro,0
8,21/04/2025,FLU,Fluminense,1,INT,Internacional,1
8,21/04/2025,COR,Coritiba,0,ATHL,Athletico-PR,2
8,21/04/2025,CAM,Atlético-MG,2,FLA,Flamengo,0
8,21/04/2025,COR,Corinthians,2,SPO,Sport Recife,1
8,21/04/2025,JUVE,Juventude,4,VIT,Vitória,3
9,28/04/2025,JUVE,Juventude,4,FLA,Flamengo,1
9,28/04/2025,CHA,Chapecoense,4,FLU,Fluminense,0
9,28/04/2025,SPO,Sport Recife,4,COR,Coritiba,4
9,28/04/2025,GRE,Grêmio,3,INT,Internacional,3
9,28/04/2025,PAL,Palmeiras,0,BAH,Bahia,2
9,28/04/2025,CAM,Atlético-MG,0,COR,Corinthians,3
9,28/04/2025,ATHL,Athletico-PR,1,VIT,Vitória,2
9,28/04/2025,SAO,São Paulo,4,ATO,Atlético-GO,1
9,28/04/2025,GOI,Goiás,4,VAS,Vasco,0
9,28/04/2025,CEA,Ceará,0,CRU,Cruzeiro,4
10,05/05/2025,COR,Corinthians,1,SAO,São Paulo,3
10,05/05/2025,VAS,Vasco,4,FLA,Flamengo,3
10,05/05/2025,JUVE,Juventude,4,CRU,Cruzeiro,1
10,05/05/2025,ATO,Atlético-GO,0,CAM,Atlético-MG,2
10,05/05/2025,CHA,Chapecoense,3,CEA,Ceará,0
10,05/05/2025,FLU,Fluminense,4,GRE,Grêmio,3
10,05/05/2025,VIT,Vitória,1,SPO,Sport Recife,3
10,05/05/2025,PAL,Palmeiras,1,ATHL,Athletico-PR,1
10,05/05/2025,COR,Coritiba,1,BAH,Bahia,3
10,05/05/2025,INT,Internacional,3,GOI,Goiás,4
11,12/05/2025,SAO,São Paulo,2,INT,Internacional,0
11,12/05/2025,VIT,Vitória,4,GRE,Grêmio,0
11,12/05/2025,SPO,Sport Recife,4,CEA,Ceará,0
11,12/05/2025,FLA,Flamengo,1,GOI,Goiás,2
11,12/05/2025,CAM,Atlético-MG,2,ATO,Atlético-GO,1
11,12/05/2025,COR,Corinthians,3,COR,Coritiba,4
11,12/05/2025,FLU,Fluminense,3,BAH,Bahia,3
11,12/05/2025,CHA,Chapecoense,1,VAS,Vasco,0
11,12/05/2025,CRU,Cruzeiro,2,PAL,Palmeiras,3
11,12/05/2025,ATHL,Athletico-PR,1,JUVE,Juventude,4
12,19/05/2025,CAM,Atlético-MG,2,PAL,Palmeiras,2
12,19/05/2025,GRE,Grêmio,1,ATO,Atlético-GO,0
12,19/05/2025,CHA,Chapecoense,4,SAO,São Paulo,0
12,19/05/2025,ATHL,Athletico-PR,4,FLA,Flamengo,3
12,19/05/2025,COR,Coritiba,1,VIT,Vitória,2
12,19/05/2025,VAS,Vasco,3,FLU,Fluminense,2
12,19/05/2025,SPO,Sport Recife,0,COR,Corinthians,0
12,19/05/2025,JUVE,Juventude,4,CEA,Ceará,4
12,19/05/2025,CRU,Cruzeiro,4,GOI,Goiás,1
12,19/05/2025,BAH,Bahia,2,INT,Internacional,3
13,26/05/2025,FLA,Flamengo,1,BAH,Bahia,0
13,26/05/2025,FLU,Fluminense,2,CRU,Cruzeiro,4
13,26/05/2025,COR,Corinthians,0,VAS,Vasco,4
13,26/05/2025,CEA,Ceará,3,JUVE,Juventude,0
13,26/05/2025,COR,Coritiba,4,VIT,Vitória,4
13,26/05/2025,ATO,Atlético-GO,4,GOI,Goiás,1
13,26/05/2025,GRE,Grêmio,1,INT,Internacional,3
13,26/05/2025,CHA,Chapecoense,0,ATHL,Athletico-PR,2
13,26/05/2025,SAO,São Paulo,3,CAM,Atlético-MG,1
13,26/05/2025,PAL,Palmeiras,4,SPO,Sport Recife,4
14,02/06/2025,PAL,Palmeiras,3,ATO,Atlético-GO,3
14,02/06/2025,SPO,Sport Recife,4,ATHL,Athletico-PR,3
14,02/06/2025,VIT,Vitória,3,CAM,Atlético-MG,3
14,02/06/2025,JUVE,Juventude,2,CHA,Chapecoense,0
14,02/06/2025,COR,Corinthians,0,COR,Coritiba,3
14,02/06/2025,CRU,Cruzeiro,1,CEA,Ceará,4
14,02/06/2025,FLA,Flamengo,1,GOI,Goiás,1
14,02/06/2025,GRE,Grêmio,0,INT,Internacional,0
14,02/06/2025,BAH,Bahia,4,SAO,São Paulo,1
14,02/06/2025,FLU,Fluminense,4,VAS,Vasco,3
15,09/06/2025,COR,Coritiba,3,VIT,Vitória,0
15,09/06/2025,COR,Corinthians,0,SAO,São Paulo,4
15,09/06/2025,BAH,Bahia,1,ATO,Atlético-GO,4
15,09/06/2025,FLU,Fluminense,0,CHA,Chapecoense,2
15,09/06/2025,SPO,Sport Recife,0,INT,Internacional,3
15,09/06/2025,CAM,Atlético-MG,3,FLA,Flamengo,3
15,09/06/2025,CEA,Ceará,4,VAS,Vasco,0
15,09/06/2025,GOI,Goiás,1,ATHL,Athletico-PR,3
15,09/06/2025,CRU,Cruzeiro,3,PAL,Palmeiras,1
15,09/06/2025,JUVE,Juventude,3,GRE,Grêmio,0
16,16/06/2025,VAS,Vasco,2,FLA,Flamengo,2
16,16/06/2025,BAH,Bahia,4,CHA,Chapecoense,4
16,16/06/2025,ATO,Atlético-GO,0,GRE,Grêmio,0
16,16/06/2025,CEA,Ceará,2,SAO,São Paulo,3
16,16/06/2025,CAM,Atlético-MG,1,PAL,Palmeiras,2
16,16/06/2025,CRU,Cruzeiro,4,FLU,Fluminense,2
16,16/06/2025,COR,Coritiba,1,SPO,Sport Recife,3
16,16/06/2025,COR,Corinthians,3,GOI,Goiás,1
16,16/06/2025,VIT,Vitória,4,INT,Internacional,1
16,16/06/2025,ATHL,Athletico-PR,4,JUVE,Juventude,0
17,23/06/2025,CEA,Ceará,0,COR,Coritiba,3
17,23/06/2025,VIT,Vitória,0,FLA,Flamengo,4
17,23/06/2025,FLU,Fluminense,3,ATO,Atlético-GO,0
17,23/06/2025,ATHL,Athletico-PR,1,GOI,Goiás,0
17,23/06/2025,GRE,Grêmio,2,CAM,Atlético-MG,4
17,23/06/2025,COR,Corinthians,1,SPO,Sport Recife,4
17,23/06/2025,VAS,Vasco,2,JUVE,Juventude,4
17,23/06/2025,SAO,São Paulo,4,BAH,Bahia,2
17,23/06/2025,CHA,Chapecoense,0,PAL,Palmeiras,0
17,23/06/2025,CRU,Cruzeiro,4,INT,Internacional,1
