Rodada,Data,IdCasa,TimeCasa,GolsCasa,IdFora,TimeFora,GolsFora
1,03/03/2025,FLU,Fluminense,2,BAH,Bahia,1
1,03/03/2025,JUV,Juventude,4,BOT,Botafogo,0
1,03/03/2025,GRE,Grêmio,3,SAN,Santos,0
1,03/03/2025,MIR,Mirassol,3,BGT,Bragantino,2
1,03/03/2025,INT,Internacional,0,PAL,Palmeiras,2
1,03/03/2025,FOR,Fortaleza,2,CRU,Cruzeiro,0
1,03/03/2025,SPO,Sport Recife,1,VIT,Vitória,0
1,03/03/2025,FLA,Flamengo,3,COR,Corinthians,0
1,03/03/2025,SAO,São Paulo,1,CEA,Ceará,2
1,03/03/2025,CAM,Atlético-MG,1,VAS,Vasco,0
2,10/03/2025,CEA,Ceará,4,FOR,Fortaleza,3
2,10/03/2025,JUV,Juventude,0,FLU,Fluminense,3
2,10/03/2025,GRE,Grêmio,3,VAS,Vasco,0
2,10/03/2025,SAN,Santos,4,COR,Corinthians,3
2,10/03/2025,BAH,Bahia,4,CRU,Cruzeiro,3
2,10/03/2025,BOT,Botafogo,0,SAO,São Paulo,1
2,10/03/2025,SPO,Sport Recife,1,BGT,Bragantino,1
2,10/03/2025,PAL,Palmeiras,4,MIR,Mirassol,0
2,10/03/2025,INT,Internacional,3,VIT,Vitória,0
2,10/03/2025,CAM,Atlético-MG,0,FLA,Flamengo,3
3,17/03/2025,SPO,Sport Recife,1,MIR,Mirassol,4
3,17/03/2025,BAH,Bahia,4,VIT,Vitória,1
3,17/03/2025,FOR,Fortaleza,3,GRE,Grêmio,4
3,17/03/2025,SAN,Santos,1,PAL,Palmeiras,2
3,17/03/2025,CAM,Atlético-MG,2,CEA,Ceará,2
3,17/03/2025,JUV,Juventude,3,VAS,Vasco,4
3,17/03/2025,INT,Internacional,4,SAO,São Paulo,1
3,17/03/2025,CRU,Cruzeiro,3,COR,Corinthians,0
3,17/03/2025,BOT,Botafogo,4,FLA,Flamengo,4
3,17/03/2025,FLU,Fluminense,0,BGT,Bragantino,3
4,24/03/2025,SAN,Santos,1,SAO,São Paulo,1
4,24/03/2025,VAS,Vasco,4,BOT,Botafogo,0
4,24/03/2025,BGT,Bragantino,2,CRU,Cruzeiro,1
4,24/03/2025,GRE,Grêmio,3,CEA,Ceará,0
4,24/03/2025,MIR,Mirassol,0,COR,Corinthians,2
4,24/03/2025,INT,Internacional,4,VIT,Vitória,1
4,24/03/2025,BAH,Bahia,2,PAL,Palmeiras,0
4,24/03/2025,FLU,Fluminense,1,FLA,Flamengo,1
4,24/03/2025,JUV,Juventude,3,FOR,Fortaleza,2
4,24/03/2025,CAM,Atlético-MG,4,SPO,Sport Recife,1
5,31/03/2025,INT,Internacional,0,COR,Corinthians,2
5,31/03/2025,FLA,Flamengo,4,VAS,Vasco,3
5,31/03/2025,FLU,Fluminense,2,GRE,Grêmio,3
5,31/03/2025,BGT,Bragantino,4,SAO,São Paulo,1
5,31/03/2025,CAM,Atlético-MG,3,CEA,Ceará,1
5,31/03/2025,SPO,Sport Recife,2,JUV,Juventude,3
5,31/03/2025,BAH,Bahia,2,BOT,Botafogo,4
5,31/03/2025,CRU,Cruzeiro,0,PAL,Palmeiras,1
5,31/03/2025,MIR,Mirassol,2,FOR,Fortaleza,1
5,31/03/2025,SAN,Santos,1,VIT,Vitória,1
6,07/04/2025,FLA,Flamengo,4,INT,Internacional,3
6,07/04/2025,SAN,Santos,0,CAM,Atlético-MG,4
6,07/04/2025,VIT,Vitória,1,BGT,Bragantino,3
6,07/04/2025,SPO,Sport Recife,4,FOR,Fortaleza,4
6,07/04/2025,CRU,Cruzeiro,0,BOT,Botafogo,0
6,07/04/2025,PAL,Palmeiras,2,BAH,Bahia,3
6,07/04/2025,FLU,Fluminense,0,VAS,Vasco,3
6,07/04/2025,MIR,Mirassol,3,CEA,Ceará,1
6,07/04/2025,GRE,Grêmio,0,SAO,São Paulo,1
6,07/04/2025,COR,Corinthians,4,JUV,Juventude,4
7,14/04/2025,INT,Internacional,3,FOR,Fortaleza,1
7,14/04/2025,COR,Corinthians,1,PAL,Palmeiras,1
7,14/04/2025,VIT,Vitória,1,MIR,Mirassol,1
7,14/04/2025,FLA,Flamengo,4,SAO,São Paulo,3
7,14/04/2025,BOT,Botafogo,4,JUV,Juventude,4
7,14/04/2025,VAS,Vasco,0,SAN,Santos,2
7,14/04/2025,BGT,Bragantino,4,BAH,Bahia,0
7,14/04/2025,FLU,Fluminense,2,GRE,Grêmio,3
7,14/04/2025,SPO,Sport Recife,2,CEA,Ceará,3
7,14/04/2025,CAM,Atlético-MG,0,CRU,Cruzeiro,2
8,21/04/2025,BGT,Bragantino,3,GRE,Grêmio,4
8,21/04/2025,PAL,Palmeiras,4,FLA,Flamengo,0
8,21/04/2025,MIR,Mirassol,2,SPO,Sport Recife,1
8,21/04/2025,BAH,Bahia,4,VIT,Vitória,1
8,21/04/2025,INT,Internacional,1,JUV,Juventude,1
8,21/04/2025,CRU,Cruzeiro,2,COR,Corinthians,4
