Rodada,Data,IdCasa,TimeCasa,GolsCasa,IdFora,TimeFora,GolsFora
1,05/05/2025,CEAR,Ceará,2,CHAP,Chapecoense,0
1,05/05/2025,FLAM,Flamengo,0,GREM,Grêmio,2
1,05/05/2025,VAS,Vasco,4,JUVE,Juventude,1
1,05/05/2025,CRU,Cruzeiro,3,FLU,Fluminense,0
1,05/05/2025,INTE,Internacional,0,PALM,Palmeiras,0
1,05/05/2025,ATL,Atlético-MG,3,SAO,São Paulo,3
1,05/05/2025,VIT,Vitória,3,SPORT,Sport Recife,2
1,05/05/2025,ATHL,Athletico-PR,4,COR,Coritiba,0
1,05/05/2025,BAHI,Bahia,2,CORI,Corinthians,1
1,05/05/2025,ATLE,Atlético-GO,0,GOI,Goiás,0
2,12/05/2025,VIT,Vitória,2,ATL,Atlético-MG,3
2,12/05/2025,SPORT,Sport Recife,1,CHAP,Chapecoense,3
2,12/05/2025,ATLE,Atlético-GO,0,FLU,Fluminense,2
2,12/05/2025,GREM,Grêmio,2,FLAM,Flamengo,3
2,12/05/2025,COR,Coritiba,2,BAHI,Bahia,4
2,12/05/2025,VAS,Vasco,3,ATHL,Athletico-PR,0
2,12/05/2025,CEAR,Ceará,2,INTE,Internacional,1
2,12/05/2025,CORI,Corinthians,3,GOI,Goiás,1
2,12/05/2025,CRU,Cruzeiro,1,PALM,Palmeiras,4
2,12/05/2025,JUVE,Juventude,0,SAO,São Paulo,3
3,19/05/2025,COR,Coritiba,1,INTE,Internacional,3
3,19/05/2025,FLU,Fluminense,1,GOI,Goiás,1
3,19/05/2025,CORI,Corinthians,3,GREM,Grêmio,4
3,19/05/2025,JUVE,Juventude,0,VAS,Vasco,2
3,19/05/2025,ATL,Atlético-MG,0,CHAP,Chapecoense,4
3,19/05/2025,BAHI,Bahia,3,CEAR,Ceará,4
3,19/05/2025,VIT,Vitória,1,SPORT,Sport Recife,3
3,19/05/2025,CRU,Cruzeiro,3,FLAM,Flamengo,2
3,19/05/2025,ATLE,Atlético-GO,0,ATHL,Athletico-PR,4
3,19/05/2025,SAO,São Paulo,0,PALM,Palmeiras,4
4,26/05/2025,VAS,Vasco,4,BAHI,Bahia,3
4,26/05/2025,GOI,Goiás,3,FLAM,Flamengo,3
4,26/05/2025,CHAP,Chapecoense,4,PALM,Palmeiras,2
4,26/05/2025,GREM,Grêmio,2,CRU,Cruzeiro,2
4,26/05/2025,FLU,Fluminense,3,COR,Coritiba,4
4,26/05/2025,ATL,Atlético-MG,2,JUVE,Juventude,1
4,26/05/2025,SPORT,Sport Recife,1,ATLE,Atlético-GO,0
4,26/05/2025,SAO,São Paulo,4,INTE,Internacional,1
4,26/05/2025,ATHL,Athletico-PR,4,CORI,Corinthians,3
4,26/05/2025,VIT,Vitória,1,CEAR,Ceará,4
5,02/06/2025,ATHL,Athletico-PR,3,BAHI,Bahia,3
